Ingredient Name	Weight	Value	1st Effect	2nd Effect	3rd Effect	4th Effect	Image
Ripened Belladonna Berries (B)	0.1	5	Resist Magicka	Restore Magicka	Fortify Magicka	Drain Magicka	Ingredient_Belladonna_Berries
Roobrush	0.1	1	Drain Willpower	Fortify Agility	Drain Health	Cure Poison	Ingredient_Roobrush
Ruby	0.2	200	Drain Health	Feather	Restore Intelligence	Drain Agility	Ingredient_Ruby
Saltrice	0.1	1	Restore Fatigue	Fortify Magicka	Drain Strength	Restore Health	Ingredient_Saltrice
Scales	0	0	Drain Personality	Water Walking	Restore Endurance	Swift Swim	Ingredient_Scales
Scamp Skin	0.1	10	Drain Magicka	Cure Paralyzation	Restore Personality	Restore Strength	Ingredient_Scamp_Skin
Scathecraw	0	0	Drain Strength	Cure Poison	Drain Health	Restore Willpower	Ingredient_Scathecraw
Scrap Metal	10	20	Drain Health	Lightning Shield	Resist Shock	Restore Intelligence	Ingredient_Scrap_Metal
Scrib Cabbage (T)	1	1	Drain Intelligence	Damage Health	Restore Agility	Fortify Agility	Ingredient_Scrib_Cabbage
Scrib Jelly	0	0	Fortify Willpower	Cure Poison	Cure Blight Disease	Restore Willpower	Ingredient_Scrib_Jelly
Scrib Jerky	0.2	5	Restore Fatigue	Fortify Fatigue	Burden	Swift Swim	Ingredient_Scrib_Jerky
Scuttle	0.1	10	Restore Fatigue	Fortify Fatigue	Feather	Telekinesis	Ingredient_Scuttle
Shalk Resin	0.1	50	Drain Fatigue	Fortify Health	Drain Personality	Fortify Speed	Ingredient_Shalk_Resin
Sload Soap	0.1	50	Drain Personality	Fortify Agility	Fire Shield	Restore Agility	Ingredient_Sload_Soap
Small Corprusmeat Hunk	0.2	0	Drain Fatigue	Drain Magicka			Ingredient_Corpusmeat_07
Small Kwama Egg	0.5	1	Restore Fatigue				Ingredient_Kwama_Egg
Small Wrapped Corprusmeat	0.2	0	Drain Fatigue	Drain Health	Drain Magicka		Ingredient_Corpusmeat_02
Snow Bear Pelt (B)	1	2	Drain Fatigue	Fortify Speed	Resist Common Disease	Night Eye	Ingredient_Snow_Bear_Pelt
Snow Wolf Pelt (B)	1	2	Drain Fatigue	Fortify Speed	Resist Common Disease	Night Eye	Ingredient_Snow_Wolf_Pelt
Spore Pod	0.1	1	Drain Strength	Drain Fatigue	Detect Key	Paralyze	Ingredient_Spore_Pod
Stoneflower Petals	0.1	1	Restore Strength	Fortify Magicka	Drain Luck	Fortify Personality	Ingredient_Stoneflower_Petals
Sweetpulp (T)	1	1	Paralyze	Levitate	Resist Paralysis	Restore Health	Ingredient_Sweetpulp
Timsa-Come-By flowers (T)	1	1	Dispel	Resist Paralysis	Drain Magicka	Restore Endurance	Ingredient_Timsa-Come-By_Flowers
Trama Root	0.1	10	Restore Willpower	Levitate	Drain Magicka	Drain Speed	Ingredient_Trama_Root
Treated Bittergreen Petals	0.1	10	Restore Intelligence	Drain Magicka	Drain Endurance	Invisibility	Ingredient_Bittergreen_Petal
Unripened Belladonna Berries (B)	0.1	5	Resist Magicka	Restore Magicka	Fortify Magicka	Drain Magicka	Ingredient_Belladonna_Berries
Vampire Dust	0.1	200	Fortify Health	Fortify Strength	Spell Absorption	Vampirism	Ingredient_Vampire_Dust
Violet Corprinus	0.5	1	Water Walking	Drain Fatigue	Poison		Ingredient_Violet_Coprinus
Void Salts	0.1	100	Restore Magicka	Spell Absorption	Paralyze	Drain Endurance	Ingredient_Void_Salts
Wickwheat	0.1	1	Restore Health	Fortify Willpower	Paralyze	Damage Intelligence	Ingredient_Wickwheat
Willow Anther	0.1	10	Drain Personality	Frost Shield	Cure Common Disease	Cure Paralyzation	Ingredient_Willow_Anther
Wolf Pelt (B)	1	2	Drain Fatigue	Fortify Speed	Resist Common Disease	Night Eye	Ingredient_Wolf_Pelt
Wolfsbane Petals (B)	0.1	5	Restore Intelligence	Invisibility	Drain Endurance	Drain Magicka	Ingredient_Wolfsbane_Petals
